model,month,fcst_qty,prod_qty,업체(거래선)
PN060WCW-VF,2026-09-01,800,0,Coway
PN099WCW-HEATER,2026-06-01,764,6184,Coway
PN099WCW-HEATER,2026-07-01,8502,7176,Coway
PN099WCW-HEATER,2026-08-01,10544,11200,Coway
PN099WCW-HEATER,2026-09-01,4750,0,Coway
PN099WCW-HEATER(A),2026-06-01,0,4350,Coway
PN099WCW-HEATER(A),2026-07-01,12150,12200,Coway
PN099WCW-HEATER(A),2026-08-01,19700,25500,Coway
PN099WCW-HEATER(A),2026-09-01,10200,0,Coway
PN099WCW-HEATER(I),2026-07-01,0,36,Coway
PN099WCW-HEATER(I),2026-08-01,108,72,Coway
PN099WCW-HEATER(I-1),2026-07-01,0,93,Coway
PN099WCW-HEATER(I-1),2026-08-01,345,252,Coway
PN099WCW-VF,2026-06-01,764,6684,Coway
PN099WCW-VF,2026-07-01,9202,7826,Coway
PN099WCW-VF,2026-08-01,11594,12150,Coway
PN099WCW-VF,2026-09-01,5100,0,Coway
PN099WCW-VF(I),2026-07-01,0,36,Coway
PN099WCW-VF(I),2026-08-01,108,72,Coway
PN100WCW-VF,2026-06-01,100,2620,Coway
PN100WCW-VF,2026-07-01,6804,9700,Coway
PN100WCW-VF,2026-08-01,13516,13300,Coway
PN100WCW-VF,2026-09-01,5200,0,Coway
PN100WCW-VF(CF),2026-06-01,0,24,Coway
PN100WCW-VF(CF),2026-07-01,1124,1900,Coway
PN100WCW-VF(CF),2026-08-01,1450,1750,Coway
PN100WCW-VF(CF),2026-09-01,1100,0,Coway
PN105WCW-RY,2026-06-01,0,36,Coway
PN105WCW-RY,2026-07-01,36,18,Coway
PN105WCW-RY,2026-08-01,18,72,Coway
PN105WCW-RY,2026-09-01,72,0,Coway
PN110WCW-VF,2026-06-01,200,200,Coway
PN110WCW-VF(SG),2026-06-01,0,144,Coway
PN110WCW-VF(SG),2026-07-01,144,0,Coway
PN120MWJ-VF(D),2026-06-01,0,100,Coway
PN120MWJ-VF(D),2026-07-01,300,400,Coway
PN120MWJ-VF(D),2026-08-01,600,800,Coway
PN120MWJ-VF(D),2026-09-01,400,0,Coway
PN120MWJ-VF(G),2026-06-01,80,80,Coway
PN120MWJ-VF(G),2026-08-01,100,100,Coway
PN130AWJ-VF,2026-06-01,0,100,Coway
PN130AWJ-VF,2026-07-01,100,0,Coway
PN130AWJ-VF,2026-08-01,500,500,Coway
PN130AWJ-VF(A),2026-06-01,0,139,Coway
PN130AWJ-VF(A),2026-07-01,139,106,Coway
PN130AWJ-VF(A),2026-08-01,106,119,Coway
PN130AWJ-VF(A),2026-09-01,119,0,Coway
PN180WWJ-VF,2026-08-01,0,50,Coway
PN180WWJ-VF,2026-09-01,50,0,Coway
PN185WCW-CON,2026-07-01,190,190,Coway
PN185WCW-MAIN,2026-07-01,190,190,Coway
PN185WCW-VF,2026-07-01,190,190,Coway
PN185WCW-VF(D),2026-06-01,1194,3482,Coway
PN185WCW-VF(D),2026-07-01,3224,2808,Coway
PN185WCW-VF(D),2026-08-01,1872,0,Coway
